"","group","ID","How much do you agree with the following statements? - ‘‘I trust the other participants”...23","How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""...25","How much do you agree with the following statements? - “I think I am similar to the other participants’’...27","How much do you agree with the following statements? - “I feel strong ties to the other participants”...29","How much do you agree with the following statements? - ""I have a lot in common with the other participants""...30","How close do you feel to all the other participants? - 1...32","How much do you agree with the following statements? - ‘‘I trust the other participants”...34","How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""...36","How much do you agree with the following statements? - “I think I am similar to the other participants’’...38","How much do you agree with the following statements? - “I feel strong ties to the other participants”...41","attention","How much do you agree with the following statements? - ""I have a lot in common with the other participants""...43","How close do you feel to all the other participants? - 1...45"
"366","R","2Bog07",5,18,12,6,7,9,43,32,11,36,73,27,22
"367","R","2Bog05",10,0,0,0,0,0,0,40,18,3,100,0,5
"368","R","2 Bog 08",52,50,78,16,57,47,80,79,66,67,100,58,69
"369","S","5",74,100,34,0,50,27,68,100,81,50,100,51,48
"370","S","9",0,0,0,0,0,0,0,0,0,0,100,0,0
"371","S","8",1,53,1,0,0,43,3,3,4,2,100,8,8
"372","S","2",53,50,49,15,51,34,66,51,26,16,100,51,31
"373","S","10",50,47,48,53,49,33,51,71,65,51,100,50,28
"374","S","6",78,86,51,51,33,51,68,41,68,28,100,51,51
"375","S","3",67,69,100,77,53,51,77,67,73,19,100,27,63
"376","R","16",18,38,81,11,47,5,16,74,72,11,100,48,4
"377","R","17",50,87,54,63,60,52,54,83,51,43,100,54,56
"378","R","11",51,70,60,0,51,15,51,65,50,10,100,51,2
"379","R","18",49,49,70,45,51,45,74,75,76,48,100,74,66
"380","R","13",27,31,26,24,23,32,54,78,20,34,100,22,50
"381","R","19",23,79,50,1,28,9,50,65,43,18,100,37,10
"382","R","12",44,97,51,51,57,75,100,100,80,51,100,51,76
"383","R","20",48,75,48,19,18,6,64,86,16,17,100,14,50
"384","R","15",63,57,46,22,47,32,80,89,62,60,100,58,62
"385","C","30",100,100,100,100,100,88,93,66,59,59,100,60,51
"386","C","27",76,30,38,5,13,18,59,34,37,21,100,25,16
"387","C","29",63,56,65,3,48,26,42,55,68,21,100,67,39
"388","C","28",47,29,45,21,17,29,71,57,52,39,100,56,40
"389","C","25",21,58,45,0,30,10,53,60,24,6,100,34,34
"390","C","24",92,44,13,43,44,0,22,27,58,12,100,23,16
"391","C","21",100,100,13,20,30,7,80,84,71,58,100,47,51
"392","C","22",52,31,53,51,43,16,88,74,27,52,100,38,26
"393","C","23",9,32,100,6,9,7,1,15,10,0,100,11,0
"394","C","26",49,48,23,18,49,11,58,55,21,53,100,17,12
"395","C","(I dont remember but will check with you after?)",55,65,54,51,54,13,66,76,34,27,100,25,8
"396","C","Red637",70,77,45,0,7,1,35,35,17,15,100,14,17
"397","C","6",40,77,61,21,44,8,51,100,52,15,100,61,25
"398","C","Green080",62,61,49,33,32,62,52,63,25,38,100,28,74
"399","C","FF941",73,100,36,6,20,18,71,62,50,44,100,41,36
"400","C","Spaghetti De la Hood 9613",25,14,39,0,1,31,47,26,26,6,100,9,28
"401","S","6",45,26,39,7,5,32,74,100,52,66,100,49,50
"402","S","1",79,48,15,3,4,2,48,37,34,10,100,30,50
"403","S","5",81,84,46,59,51,34,83,95,98,77,100,78,51
"404","S","2",9,17,29,9,15,10,0,7,9,14,34,21,15
"405","S","4",49,49,26,25,50,50,50,50,49,50,100,49,49
"406","S","MM565",87,84,51,25,50,60,81,87,51,36,100,21,61
"407","S","1",52,44,9,0,7,47,74,74,23,14,100,10,68
"408","S","S",100,100,73,5,36,69,100,100,100,100,100,77,73
"409","S","kt3108",52,73,62,21,46,51,50,50,46,31,100,43,52
"410","S","4",14,10,66,3,45,38,50,71,84,61,100,64,68
"411","C","8",100,86,100,89,100,70,100,100,100,100,100,100,100
"412","C","4",47,21,57,23,42,47,48,46,41,49,100,50,48
"413","C","6",100,50,47,24,24,52,55,0,0,0,100,48,49
"414","C","2",95,63,28,47,48,47,99,85,72,67,100,77,78
"415","C","7",88,100,47,52,65,82,84,100,52,73,100,50,85
"416","C","3",77,70,1,47,0,26,85,79,0,80,100,19,6
"417","C","10",9,36,100,2,51,0,54,98,99,5,100,79,5
"418","S","16",100,46,41,56,16,5,53,52,50,14,100,50,5
"419","S","18",34,53,26,29,33,13,36,51,31,22,100,28,8
"420","S","11",100,50,78,11,18,10,75,68,56,33,100,35,49
"421","S","13",69,16,67,0,59,13,74,39,60,13,100,63,3
"422","S","17",51,79,55,16,36,41,60,89,66,38,100,66,65
"423","S","15",56,22,44,43,46,54,44,52,35,35,100,44,54
"424","R","30",100,89,25,46,47,70,82,71,32,68,100,28,77
"425","R","29",100,65,20,17,50,25,100,83,22,42,100,27,33
"426","R","22",78,0,0,0,75,37,19,15,9,31,100,38,35
"427","R","23",50,23,0,0,0,0,49,71,52,0,100,51,0
"428","R","27",35,28,25,31,54,35,62,55,24,40,100,26,31
"429","R","25",29,0,12,17,16,19,24,16,0,0,100,16,22
"430","R","26",100,87,100,33,95,71,100,100,94,47,100,96,78
"431","R","24",79,66,73,29,48,30,49,29,73,6,100,30,30
"432","R","21",99,73,45,7,9,11,85,54,13,5,100,5,8
"433","R","7",35,49,56,37,51,45,44,43,55,39,100,51,37
"434","R","2",65,58,51,25,46,59,31,50,61,23,100,37,34
"435","R","1",39,42,16,8,50,7,52,51,53,9,100,52,23
"436","R","14087385",49,51,27,4,1,3,58,78,29,2,100,10,3
"437","R","4",21,0,20,12,17,29,37,51,50,31,100,21,51
"438","R","3",57,81,51,52,54,49,44,76,68,49,100,49,44
"439","R","R4",92,36,18,4,12,51,82,24,66,14,100,27,27
"440","R","R1",45,10,8,4,2,25,72,55,7,16,100,9,30
"441","R","R3",14,22,0,9,9,6,13,12,20,31,22,84,17
"442","R","R7",48,75,68,56,52,59,73,78,65,64,100,66,63
"443","R","R8",69,79,64,41,47,51,67,79,56,28,100,41,59
"444","R","R5",63,17,59,38,23,20,64,66,71,47,76,100,64
"445","R","R9",48,66,52,21,46,51,60,74,18,41,100,34,70
"446","R","R2",51,72,46,9,20,11,59,66,52,56,100,61,54
"447","R","R6",100,43,74,11,48,33,100,84,74,57,100,56,51
"448","S","S5",48,53,82,49,67,52,55,63,65,34,100,61,53
"449","S","S1",72,60,72,13,52,52,75,83,49,19,100,17,50
"450","S","S3",50,26,48,13,43,20,47,68,56,49,100,61,51
"451","S","S8",69,70,57,16,52,52,67,86,49,51,100,57,74
"452","S","S9",78,91,52,17,51,52,88,86,60,53,100,54,67
"453","S","S7",53,51,51,1,31,8,69,79,54,66,100,54,51
"454","R","4",15,77,22,6,0,3,23,55,0,14,100,0,18
"455","R","3",53,50,74,50,79,29,50,64,63,65,100,58,49
"456","R","5",47,62,63,23,48,27,75,60,66,57,100,41,38
"457","R","2",75,75,74,53,55,31,93,86,95,70,100,85,51
"458","R","1",50,48,41,16,27,25,70,77,51,22,100,38,65
"459","S","3",6,47,37,5,52,25,24,66,52,35,100,24,40
"460","S","7",100,12,100,100,100,59,100,100,68,49,100,36,67
"461","S","6",68,82,64,73,51,52,58,85,78,54,100,54,50
"462","S","5",60,59,49,12,36,53,44,43,58,34,100,34,75
"463","S","2",46,47,50,2,50,18,48,71,43,6,100,45,28
"464","S","1",79,75,49,17,37,29,72,87,51,64,100,52,64
"465","R","4",60,82,51,8,6,51,79,55,51,18,100,49,31
"466","R","3",67,100,7,20,16,63,67,77,50,24,100,12,48
"467","R","5",50,19,49,19,13,16,16,7,29,13,100,19,23
"468","R","1",12,100,100,0,48,0,12,100,100,0,100,9,7
"469","R","2",100,49,54,53,56,19,50,54,48,16,100,50,2
"470","C","C10",49,55,25,15,31,32,50,53,35,49,100,46,59
"471","C","C5",15,50,20,50,25,53,30,47,14,6,100,48,43
"472","C","C2",61,100,19,12,28,52,54,89,31,41,100,49,53
"473","C","C3",79,60,61,12,36,32,66,49,39,44,100,38,47
"474","C","C9",48,84,9,10,16,23,73,88,17,52,100,6,6
"475","C","C4",20,16,67,15,61,51,58,62,59,50,100,64,60
"476","C","C1",77,53,81,17,27,38,73,72,59,32,100,47,61
"477","C","C7",68,43,22,2,19,8,74,76,27,59,100,55,50
"478","C","C6",93,77,11,68,14,50,81,84,16,54,100,9,100
"479","C","5",63,100,49,29,53,50,56,53,49,2,100,54,57
"480","C","2",52,54,49,0,50,30,55,51,54,25,100,50,33
"481","C","1",54,53,48,10,39,29,63,57,50,29,100,48,43
"482","C","3",54,44,79,5,7,7,66,55,14,8,100,8,12
"483","C","7",100,50,0,48,40,52,100,100,48,52,100,7,54
"484","S","7",52,66,48,0,49,39,51,73,61,50,100,48,62
"485","S","3",52,52,77,51,48,31,83,83,53,55,100,69,35
"486","S","1",51,52,38,0,18,30,54,54,42,49,100,48,56
"487","S","8",53,51,64,53,56,51,68,62,84,71,100,73,50
"488","S","5",100,100,100,21,17,51,100,100,73,48,100,80,51
"489","S","9",46,80,64,31,39,9,78,100,84,92,100,85,47
"490","C","7",73,79,80,63,59,46,76,100,73,49,100,67,66
"491","C","4",51,90,89,56,78,50,70,68,77,36,100,69,48
"492","C","1",75,53,52,0,53,19,52,72,52,51,100,52,41
"493","C","6",87,100,56,64,53,66,77,100,70,100,100,58,81
"494","C","2",49,43,50,56,55,63,70,52,72,65,100,54,64
"495","C","5",87,99,97,82,69,62,74,100,89,76,100,69,70
"496","C","05",43,34,41,51,49,10,68,68,57,48,100,51,38
"497","C","10",52,50,27,45,25,3,32,3,6,4,100,6,6
"498","C","08",51,66,50,52,52,50,76,73,62,44,50,51,8
"499","C","02",100,84,100,76,69,76,87,77,59,72,100,52,54
"500","C","07",56,56,85,50,50,45,83,90,89,54,100,44,65
"501","C","03",70,98,48,56,56,56,100,100,100,49,100,49,48
"502","C","09",80,80,64,64,52,71,84,83,75,59,99,73,80
"503","C","01",29,35,85,58,56,46,47,54,41,47,98,56,30
"504","S","5",45,22,12,2,45,4,34,66,47,11,100,29,24
"505","S","8",38,21,46,31,19,11,16,13,15,16,100,14,16
"506","S","4",33,22,28,3,5,0,87,89,4,9,100,4,4
"507","S","1",13,89,61,17,54,51,48,66,69,39,100,69,49
"508","S","2",51,56,44,5,6,23,82,86,51,29,100,20,89
"509","S","7",48,37,13,5,6,6,52,19,20,18,100,18,19
"510","S","6",61,14,52,1,50,10,29,47,14,2,100,12,16
"511","S","3",14,100,49,8,31,6,44,72,55,9,100,14,43
"512","R","9",74,57,50,25,31,33,100,100,14,27,100,25,24
"513","R","4",8,32,14,5,12,22,8,26,14,5,100,28,24
"514","R","3",0,40,38,0,8,27,21,55,13,6,100,12,43
"515","R","8",52,74,52,5,51,49,52,73,54,26,96,54,51
"516","R","5",29,36,18,3,28,49,34,47,0,9,100,6,63
"517","R","2",13,10,7,0,0,13,11,10,7,4,100,4,9
"518","R","7",56,28,35,14,15,39,28,36,29,23,100,26,33
"519","R","6",11,50,26,11,50,50,40,49,46,33,100,54,50
"520","R","1",64,9,35,0,0,33,64,61,52,11,100,14,48
"521","R","7",51,100,70,51,51,28,50,73,51,51,100,52,15
"522","R","6",100,86,58,30,26,13,75,95,100,48,100,40,0
"523","R","8",49,50,0,53,54,52,58,90,97,66,100,53,53
"524","R","10",51,50,50,51,51,31,55,80,71,13,100,52,31
"525","R","9",90,73,68,43,48,50,82,61,52,52,100,50,51
"526","R","3",0,100,89,29,41,36,100,100,99,70,100,81,42
"527","C","3",92,98,49,0,66,75,75,19,81,29,100,77,37
"528","C","2",64,79,22,5,12,40,35,16,79,12,100,53,39
"529","C","5",53,24,52,20,9,13,60,32,81,11,100,22,11
"530","C","4",48,15,12,21,23,20,33,38,32,21,100,22,20
"531","C","6",69,37,48,12,38,50,65,43,27,17,100,29,29
"532","C","1",100,4,21,1,28,21,100,13,2,3,100,0,8
"533","C","4",47,18,78,0,14,11,53,8,59,7,100,51,35
"534","C","2",97,9,93,1,1,2,96,31,66,38,98,72,50
"535","C","8",100,0,2,0,1,0,5,6,2,2,100,4,7
"536","C","10",11,73,11,42,34,53,7,22,7,5,99,3,4
"537","C","5",77,38,49,1,3,19,43,74,27,23,100,28,51
"538","C","9",0,49,65,49,51,65,70,68,66,56,100,65,71
"539","C","6",34,32,44,6,46,42,48,34,45,5,100,37,43
"540","C","1",14,10,8,7,7,10,5,5,7,10,100,5,9
"541","C","7",30,23,93,10,98,74,73,58,93,39,100,72,68
"542","C","3",72,100,100,11,48,85,100,100,100,100,100,91,100
"543","S","12",10,15,48,5,4,29,20,22,39,88,91,14,52
"544","S","20",50,32,52,0,50,16,49,52,49,48,100,49,43
"545","S","15",55,52,26,13,38,44,37,34,52,43,100,57,64
"546","S","17",100,50,53,17,40,55,87,83,51,90,100,55,88
"547","S","19",17,6,54,5,5,7,77,80,80,51,100,13,77
"548","S","16",100,85,86,85,100,34,89,97,91,100,100,95,37
"549","S","11",30,59,29,9,28,14,48,48,47,36,100,22,9
"550","S","13",30,48,16,8,14,37,9,32,10,3,100,8,36
"551","S","14",82,100,66,52,66,63,84,100,62,51,100,55,73
"552","S","18",57,13,54,50,50,52,77,82,77,81,100,61,74
"553","R","21",32,27,31,20,48,50,42,51,39,47,100,46,49
"554","R","24",54,38,53,29,20,27,58,56,15,35,100,32,30
"555","R","22",66,59,60,47,25,68,82,96,69,50,100,54,75
"556","R","28",52,23,22,10,8,7,88,91,9,11,92,6,10
"557","R","27",51,22,38,7,47,14,47,59,31,38,100,39,36
"558","R","25",18,15,12,18,13,15,18,17,20,16,100,15,16
"559","R","23",24,10,13,0,0,13,35,48,20,11,100,42,48
"560","R","30",100,81,44,48,68,55,49,49,72,39,100,52,51
"561","R","29",17,3,25,6,5,48,18,25,26,10,100,23,42
"562","R","10",100,100,99,99,94,62,98,100,100,79,100,100,83
"563","R","5",44,39,75,10,12,49,44,75,67,12,100,100,100
"564","R","3",58,61,2,14,7,58,42,80,40,23,85,33,66
"565","R","2",50,39,68,18,50,27,59,42,59,33,100,53,34
"566","R","9",71,46,46,46,12,33,48,56,28,49,100,49,32
"567","R","4",49,47,99,100,45,48,52,50,49,49,100,51,51
"568","R","7",75,93,39,40,28,48,47,61,19,49,100,42,49
"569","C","6",26,27,13,0,13,21,12,16,37,0,100,17,11
"570","C","7",100,10,100,5,100,24,100,100,100,100,100,100,50
"571","C","5",52,64,52,59,67,38,64,65,60,63,100,64,29
"572","C","4",77,71,52,9,61,40,54,40,7,18,100,75,63
"573","C","10",51,32,30,3,18,35,25,25,34,4,100,21,35
"574","C","9",23,11,16,5,12,10,23,61,14,3,100,4,5
"575","C","1",50,24,78,15,41,27,71,50,74,26,100,49,35
"576","C","2",49,0,50,0,51,0,66,0,51,0,100,49,0
"577","S","8",62,70,60,39,65,37,65,33,29,60,100,66,31
"578","S","10",60,59,8,6,55,23,45,41,24,13,100,24,45
"579","S","6",59,38,32,16,31,46,45,39,31,38,100,41,46
"580","S","9",77,68,50,39,80,67,74,49,39,53,100,78,49
"581","S","1",0,8,0,41,50,18,20,21,18,18,100,22,26
"582","S","4",52,54,41,39,62,42,44,41,38,39,100,60,40
"583","S","2",15,51,48,48,21,18,64,51,55,51,100,50,43
"584","S","3",38,57,58,77,45,32,57,94,73,66,100,74,65
"585","S","5",68,66,51,50,52,61,66,54,52,57,100,52,49
"586","C","C5",100,100,100,52,72,49,83,77,57,73,100,67,60
"587","C","C10",100,100,100,61,68,66,80,100,87,100,100,100,48
"588","C","C7",85,100,100,16,11,50,73,45,93,11,100,47,49
"589","C","C6",92,100,44,50,30,36,62,100,42,43,45,43,40
"590","C","C8",51,100,95,26,49,41,50,100,91,33,100,71,64
"591","C","C1",82,72,29,14,15,52,16,16,7,8,100,9,35
"592","C","C2",100,77,33,10,0,49,100,26,25,44,100,24,50
"593","C","C3",72,23,78,51,80,82,48,48,71,78,0,61,41
"594","C","C9",73,53,73,51,73,49,100,100,77,73,100,75,50
"595","R","R9",51,38,51,16,11,32,29,25,21,27,100,12,26
"596","R","R1",71,75,66,16,6,14,81,71,74,70,100,71,58
"597","R","R6",100,60,100,32,53,35,100,84,60,77,100,51,58
"598","R","R2",44,34,72,3,14,25,62,72,56,62,100,50,50
"599","R","R10",59,49,57,3,2,6,10,8,33,12,100,8,16
"600","R","R4",16,43,76,45,72,29,61,97,94,55,100,27,46
"601","S","S6",17,19,37,13,31,11,43,55,49,41,100,49,38
"602","S","S8",59,73,31,2,6,13,73,88,53,51,100,29,33
"603","S","S9",89,90,73,65,49,10,88,67,57,51,100,49,14
"604","S","S5",100,50,54,49,50,54,77,89,56,60,100,50,51
"605","S","S2",98,95,77,0,91,85,48,59,49,42,100,44,51
"606","S","S7",24,42,37,13,43,2,48,38,66,27,100,29,33
"607","S","S10",63,82,82,38,28,27,45,79,35,59,100,63,38
"608","S","S3",49,38,48,31,6,50,50,72,15,51,100,26,50
"609","S","S1",69,14,96,26,57,49,66,84,84,78,100,76,63
"610","R","R3",48,49,65,13,31,32,37,32,43,26,100,15,53
"611","R","R8",53,74,18,17,13,49,61,50,17,34,100,17,52
"612","R","R7",61,57,56,70,69,51,67,48,61,63,100,62,52
"613","R","R1",51,63,62,43,68,51,71,77,67,42,100,36,50
"614","R","R5",87,87,47,15,77,41,68,29,20,28,100,52,28
"615","R","R9",48,50,70,22,50,49,50,69,52,67,100,54,52
"616","R","R6",49,50,33,0,0,0,50,62,0,0,100,0,0
"617","R","R4",100,100,47,0,49,49,93,100,96,76,100,91,77
"618","R","R2",32,53,73,54,77,53,63,51,72,49,100,54,54
"619","C","C1",85,84,72,15,73,42,68,100,37,71,100,65,32
"620","C","C7",40,76,43,54,21,14,98,39,58,41,100,46,29
"621","C","C6",100,100,100,100,100,100,100,100,100,100,100,81,100
"622","C","C8",61,28,74,32,74,31,42,39,42,21,100,66,32
"623","C","c9",28,54,63,29,38,18,61,74,38,32,100,35,44
"624","C","C4",83,95,100,99,44,71,79,96,74,57,100,35,53
"625","C","C2",37,21,50,15,7,28,44,18,16,27,100,34,35
"626","C","C5",51,76,9,49,29,35,63,75,20,70,100,31,46
"627","C","C3",90,64,66,40,51,34,71,72,33,65,100,43,61
"628","S","S4",74,39,66,27,27,35,69,57,61,42,100,39,58
"629","S","7",50,50,32,0,10,5,33,29,18,5,100,15,24
"630","S","S5",24,70,15,14,22,54,62,81,100,59,100,41,54
"631","S","S6",4,7,2,7,52,9,7,16,86,14,100,17,8
"632","S","S9",100,77,59,52,72,52,64,90,58,95,100,71,71
"633","S","2",0,0,30,0,2,0,0,11,75,0,100,0,16
"634","S","S1",44,14,35,26,15,17,84,77,73,79,100,72,81
"635","S","S3",50,72,65,10,31,49,49,58,65,29,100,42,51
"636","S","S10",0,0,62,0,0,10,0,50,0,18,100,0,23
"637","S","8",73,95,8,49,21,10,80,76,50,85,100,73,44
"638","S","7",94,100,7,5,5,37,100,100,33,24,89,40,31
"639","S","2",13,5,10,9,2,4,28,32,33,24,100,5,24
"640","S","0",100,100,19,99,11,100,100,100,100,17,100,17,100
"641","S","4",69,55,40,41,48,43,68,95,68,74,100,64,54
"642","S","5",0,3,3,5,0,6,21,3,0,2,100,0,0
"643","S","1",70,81,4,27,3,55,55,77,24,37,100,40,62
"644","S","3",17,84,37,13,5,20,85,98,38,62,100,63,100
"645","S","8",74,16,1,9,2,7,71,64,2,10,100,4,5
"646","R","15",53,74,8,55,5,50,11,80,43,64,100,50,50
"647","R","14",100,87,20,56,46,72,100,85,74,100,100,100,87
"648","R","10",34,60,28,33,50,28,50,74,69,62,100,32,50
"649","R","16",52,38,50,0,47,55,69,50,38,47,100,33,51
"650","R","11",47,65,36,1,2,49,51,61,35,34,100,33,50
"651","R","13",10,12,5,4,5,4,19,4,3,4,100,2,11
"652","R","9",100,100,47,45,53,50,100,100,64,81,100,79,61
"653","C","24",49,50,0,43,42,8,44,42,8,23,100,43,28
"654","C","23",49,16,32,23,11,18,33,57,29,53,100,36,47
"655","C","25",15,19,9,15,12,24,49,45,22,29,100,28,27
"656","C","22",79,89,60,56,47,59,85,84,52,63,100,61,71
"657","C","20",48,51,55,56,57,4,91,96,45,95,92,52,53
"658","C","18",48,100,52,5,10,45,59,58,3,51,52,53,24
"659","C","19",96,99,0,54,50,52,100,98,10,48,100,46,51
"660","C","17",96,63,7,52,12,52,69,88,28,20,100,40,52
"661","R","01",49,55,50,1,50,4,72,100,42,17,100,49,27
"662","R","09",51,35,51,23,48,33,59,67,48,46,100,49,29
"663","R","02",52,54,51,23,25,19,50,66,33,30,100,21,27
"664","R","05",47,50,40,0,8,0,49,75,47,49,100,48,8
"665","R","08",50,51,76,18,48,28,56,56,29,26,100,23,36
"666","R","04",73,75,78,50,64,64,75,89,76,71,100,64,73
"667","R","07",52,52,35,26,39,52,44,53,66,67,55,51,70
"668","S","07",55,53,53,47,34,28,16,79,36,16,100,29,29
"669","S","05",47,46,68,13,49,5,12,91,41,14,100,48,54
"670","S","08",45,47,100,0,45,0,50,65,48,21,100,47,9
"671","S","04",84,91,87,50,50,53,78,85,58,52,98,52,55
"672","S","02",59,67,58,16,41,49,49,67,56,49,100,61,52
"673","S","09",90,100,90,27,29,26,85,86,47,32,100,31,33
"674","S","06",47,48,77,48,50,49,29,32,64,47,100,52,52
"675","S","01",77,42,38,33,28,17,74,71,57,49,100,50,46
"676","S","03",92,33,85,28,26,51,77,74,55,48,100,74,75
"677","C","06",6,5,4,14,1,15,41,26,25,12,100,11,13
"678","C","03",50,85,21,49,49,28,75,78,82,75,100,80,33
"679","C","02",0,47,21,0,16,10,19,36,26,21,100,45,22
"680","C","05",10,6,13,4,2,25,30,34,7,9,100,17,34
"681","C","10",52,68,73,6,27,34,32,56,58,21,100,47,22
"682","C","01",10,29,14,12,22,3,48,44,28,29,100,40,28
"683","C","08",51,54,51,22,54,26,64,49,51,38,81,41,33
"684","C","09",61,52,47,16,50,52,74,64,59,50,100,58,49
"685","S","6",100,100,55,50,51,73,100,90,73,93,100,91,80
"686","S","1",44,45,31,44,55,57,61,76,37,65,54,29,91
"687","S","3",4,9,15,0,0,0,13,19,0,0,100,0,5
"688","S","4",89,82,19,21,24,67,87,90,31,51,100,38,59
"689","S","2",66,52,71,25,64,29,49,26,46,31,100,41,27
"690","R","6",60,89,71,17,53,53,69,77,70,69,100,70,63
"691","R","MR23",100,47,2,52,2,4,49,100,44,47,100,9,53
"692","R","4",39,61,73,25,64,13,40,68,58,27,100,47,20
"693","R","1",100,100,53,40,51,57,84,95,53,37,100,25,33
"694","R","MS22",46,92,22,39,55,36,71,100,37,40,100,59,51
"695","C","4",68,61,40,54,29,29,75,69,44,67,100,46,41
"696","C","1",67,70,49,61,50,48,75,85,77,61,74,72,73
"697","C","7",50,61,26,2,3,6,61,48,35,14,100,14,10
"698","C","5",83,81,48,45,57,27,82,84,68,50,100,51,51
"699","C","8",49,29,28,25,39,30,75,75,78,59,100,61,49
"700","C","6",66,30,64,0,8,0,32,33,28,12,100,2,0
"701","C","3",52,84,35,15,15,20,52,70,78,38,100,37,26
"702","C","9",69,34,47,7,24,19,31,11,45,5,100,17,32
"703","C","2",100,100,40,0,11,51,80,77,29,0,100,9,48
"704","C","10",65,47,18,12,20,24,71,40,58,26,100,24,25
"705","S","1",67,58,79,17,26,36,70,59,64,15,97,41,44
"706","S","5",71,82,58,13,30,19,67,72,61,40,100,57,21
"707","S","3",87,88,81,59,44,45,62,79,100,51,100,51,51
"708","S","4",49,33,50,6,7,21,0,75,80,54,55,49,23
"709","S","9",87,51,51,20,11,49,60,80,87,93,100,49,32
"710","S","6",73,73,61,12,50,8,74,70,58,31,100,48,29
"711","R","7",32,71,29,0,9,9,21,54,14,15,100,18,5
"712","R","UAHPEC29144",85,93,89,81,96,70,86,95,80,87,100,80,82
"713","R","9",77,59,84,3,37,36,79,60,87,3,100,25,41
"714","R","6",90,72,75,44,60,61,85,77,71,54,100,72,74
"715","R","5",68,52,33,13,45,30,77,92,88,66,100,47,36
"716","R","4",77,85,74,6,50,31,60,79,59,65,100,51,50
"717","R","3",100,63,100,21,75,67,100,92,100,45,100,65,59
"718","R","10",76,69,52,33,52,63,64,58,58,56,100,56,49
"719","S","3",50,0,64,63,75,50,71,63,80,60,100,73,31
"720","S","2",50,21,51,27,27,29,44,24,22,21,100,18,28
"721","S","8",100,48,10,11,1,51,100,65,7,20,100,12,72
"722","S","1",59,54,100,57,57,5,55,66,84,58,99,60,14
"723","S","5",100,64,100,68,70,71,100,80,100,79,100,70,81
"724","S","10",80,91,39,0,47,51,95,85,72,61,100,51,73
"725","R","16",55,50,98,9,46,49,54,50,52,17,100,51,47
"726","R","14",71,61,47,23,44,10,46,45,28,8,100,38,19
"727","R","6",63,51,79,29,50,50,86,77,81,18,100,49,51
"728","R","11",40,36,29,22,17,34,100,81,53,49,100,50,62
"729","R","13",18,50,50,53,76,70,18,51,66,49,100,58,70
"730","R","12",75,74,74,50,51,49,71,71,75,69,100,48,50
"731","R","15",94,76,66,49,50,34,89,70,89,51,100,63,65
"732","C","1",50,77,52,3,5,4,61,82,52,14,100,23,16
"733","C","3",58,83,50,88,82,82,88,92,96,77,100,100,85
"734","C","5",47,50,52,0,51,0,50,100,49,13,100,50,19
"735","C","2",100,100,37,35,51,8,100,100,100,62,100,62,0
"736","C","4",45,70,38,28,30,24,15,50,25,20,100,34,40
"737","C","5",49,57,52,47,47,9,51,52,51,13,96,50,18
"738","C","8",35,7,20,20,15,50,54,54,24,12,13,33,43
"739","C","9",51,63,20,24,25,41,74,83,58,53,100,71,63
"740","C","2",43,88,92,92,51,50,50,45,45,46,93,90,52
"741","C","10",51,51,50,0,50,0,54,48,50,0,100,0,46
"742","C","7",49,96,74,100,56,100,100,100,100,100,100,100,100
"743","C","C3",66,73,52,77,51,96,93,76,81,58,96,77,97
"744","C","6",47,55,2,100,100,49,53,100,100,100,100,0,48
"745","R","R10",100,100,100,46,100,100,29,100,74,100,60,78,100
"746","R","R2",83,69,100,82,79,54,67,100,94,91,100,100,75
"747","R","06",15,36,50,14,3,10,51,100,100,50,100,50,51
"748","R","R8",54,100,0,87,90,86,49,77,54,58,100,100,82
"749","R","R1",58,49,100,95,0,51,46,100,100,44,100,49,52
"750","R","R-07",93,33,24,76,21,52,99,65,83,100,45,53,51
"751","R","R - 04",52,99,93,0,52,53,10,100,50,50,0,53,99
"752","R","05",96,93,100,100,79,92,50,49,94,46,87,100,51
"753","R","R09",100,100,100,92,100,100,0,0,0,100,49,100,100
"754","R","R03",100,100,100,100,22,100,100,100,100,100,100,7,100
"755","S","3",54,59,58,55,52,0,56,52,56,52,51,55,0
"756","S","8",100,100,44,6,47,100,100,100,49,47,100,48,100
"757","S","02",53,86,88,51,72,99,50,96,91,77,100,90,96
"758","S","5",100,100,100,100,0,100,100,100,100,100,100,100,100
"759","S","9",100,100,100,100,100,51,100,100,0,0,100,100,47
"760","S","7",47,51,57,71,34,100,93,56,44,54,56,100,100
"761","S","06",100,94,81,88,40,100,100,100,100,100,100,94,100
"762","S","1",100,100,49,43,100,100,100,100,46,48,100,52,100
"763","S","10",100,100,100,100,100,54,90,100,100,88,85,70,82
"764","S","4",46,0,54,53,51,25,100,97,60,63,93,100,87
"765","R","4",100,46,47,59,48,52,86,86,95,59,100,50,53
"766","R","2",49,69,48,8,48,7,69,86,77,35,84,50,30
"767","R","7",45,23,14,11,10,9,11,66,59,41,84,47,29
"768","R","3",33,54,50,62,21,46,51,53,60,43,98,49,54
"769","R","1",56,48,49,26,48,52,49,31,51,35,100,50,50
"770","R","6",76,100,71,43,14,49,99,100,7,19,61,24,57
"771","R","5",49,100,75,49,70,48,93,98,21,83,100,53,20
"772","C","21",66,98,53,14,55,26,73,55,48,18,100,48,18
"773","C","23",100,73,66,82,52,67,95,33,0,0,100,0,37
